fingerprint,title,author,date,source,source-hostname,hostname
R5TQguB5FszW7spihPcw60v8MFE=,One Good Turn…,Alan K. Baker,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/one-good-turn/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
ctjxCf/uLS7Zyg3d4a6JfXnIFfM=,Where the Gods Went,J. Drake,2018-07-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/where-the-gods-went/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
Vi/YcW6KvdOqMEth7QJZwDXlaPA=,Yemoja,Simbiat Haroun,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/yemoja/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
0zD4klTIeDFjxc17IKIYitXeNJ0=,A Walk in the Sun,"Perhaps Sanjiv might have done better, if he’d been alive. Trish had done the best she could. All things considered, it was a far better landing than she had any right to expect.",2016-01-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/walk-in-the-sun/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
9/SNJo4MuhUY+45WXSCSn9UYTNc=,Auto Draft,Glenn Lyvers,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/auto-draft/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
uF6dwheInw0h8K7mm1F2s2tLd0w=,The Book of Winter,Caroline Friedel,2018-12-23,https://cosmicrootsandeldritchshores.com/fiction-all/stories-for-young-people-from-4-to-400/the-book-of-winter/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
EBkhWv5EpKOJH2givZQTehQhKRU=,Watchers,David A. Gray,2017-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/watchers/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
MMo8gwSLzXiQMl/nBbjHkkCDjWU=,The King’s Computer,Liam Hogan,2010-01-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/the-kings-computer/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
WvoxzqITCv25rCtClsCgrBrCtpo=,Tyrian Purple,T. R. Frazier,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/myths-legends-and-fairy-tales/tyrian-purple/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
WyPLgZC51+RGuWHOFUJJ9x0nLmM=,"Gatekeeper, What Toll?",Mike Reeves-McMillan,2016-06-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/gatekeeper-what-toll/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
tFP7Kx9FGlEtvyhmx3MqtFEFJGA=,Cosmic Roots And Eldritch Shores,Andrew Jensen,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/the-trial-of-st-george/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
NRzDqvaL8hlrWMLKtfrXcgpqgxY=,Revolution Days,Gary Kloster,2017-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/revolution-days/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
MpS/f2P1OwEeUYC+n7nl1OYjX/4=,What Fools These Immortals Be,Evan Dicken,2017-08-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/what-fools-these-immortals-be/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
fvb1UTJ/togTb8bEayMPLd1uCuA=,When I Close My Eyes,Chris Barnham,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/when-i-close-my-eyes/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
dppbWXwN/7i6PJnUxCVpkI9xZ7w=,The Shadows Left Behind,Ian Pohl,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/the-shadows-left-behind/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
18DbzntBxeQaZTxwJs7gX9svC/4=,Where the Gods Went,J. Drake,2018-07-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/where-the-gods-went/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
dyCo6V+zHxSWoFqQZW8Ns4N3kPM=,Tryst,by Brian K. Lowe,2010-01-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/tryst/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
Py10fUDmVSytCMybsMg70rAPbvM=,A Possession of Magpies,E.E. King,2016-03-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/a-possession-of-magpies/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
imNauGDPM271IM87c0/DoVC6Yqg=,Sweeter Than Lead,Benjamin C. Kinney,2017-04-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/sweeter-than-lead/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
oZpvlGuA6yJAJ+35yRVCa2YA/sw=,ШЕСТЕРЁНКИ,Давыдова Александра,2016-02-01,https://cosmicrootsandeldritchshores.com/fiction-all/eldritch/%d1%88%d0%b5%d1%81%d1%82%d0%b5%d1%80%d1%91%d0%bd%d0%ba%d0%b8/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
1U84Y6InSp134cj9T3RHm1dob2Q=,Entanglement,Christopher Blake,2018-12-01,https://cosmicrootsandeldritchshores.com/fiction-all/science-fiction/entanglement/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
Iq84urQki+GDlLwY25FHpL85H2w=,Cloud Tower,Ian Pohl,2015-10-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/cloud-tower/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
Ge8QbGLuAhWKNp21csm3h1AArGg=,With the Breath of His Bare Hands,Tyra Tanner,2016-01-01,https://cosmicrootsandeldritchshores.com/fiction-all/fantasy/with-the-breath-of-his-bare-hands/,Cosmic Roots and Eldritch Shores,cosmicrootsandeldritchshores.com
