fingerprint,title,author,date,categories,tags,id,license,comments,source,source-hostname,hostname,excerpt,filename,has_text
NXcIBwUDyuJ9p7/fJV1CMzgnTlM=,"Jesus Christ, Reanimator",Ken MacLeod,2017-03-21,Short Fiction,Apex Magazine;Issue 94;Jesus Christ Reanimator;Ken Macleod;Reprint;Short Fiction 2,13152,,,https://apex-magazine.com/short-fiction/jesus-christ-reanimator/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/jFVgKzjZm0FEjuKwImPfC0QXHG0.json,TRUE
9Z7MTdvCzHDSXbhYhYT/t4oWa4Q=,Samsāra in a Teacup,Lavanya Lakshminarayan,2021-12-21,Short Fiction,Cw;International Futurists;Issue 128;Lavanya Lakshminarayan;Samsara In A Teacup;Short Fiction 2,49927,,,https://apex-magazine.com/short-fiction/samsara-in-a-teacup/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/rt3MoW0ccLWFhac7R3BYhL9Pqbc.json,TRUE
ZSn6jgIjhWNrwuCkesBZk0br/WM=,As Long as You Can Stand It,Joanna Truman,2017-02-14,Short Fiction,2017 Valentines Flash Fiction Winner;Apex Magazine;As Long As You Can Stand It;Issue 93;Joanna Truman;Short Fiction 2,12996,,,https://apex-magazine.com/short-fiction/as-long-as-you-can-stand-it/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/+DHki3ZDByh-sIhioSfpXQDmQ00.json,TRUE
gq9ea6dA2YbBC9rWWtRM00DilL8=,A Life in Fictions,Kat Howard,2011-10-04,Short Fiction,A Life In Fictions;Apex Magazine;Issue 29;Kat Howard;Reprint;Short Fiction 2,3867,,,https://apex-magazine.com/short-fiction/a-life-in-fictions/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/jBtaKVcH8HrghPsWrfB3r5S5dOQ.json,TRUE
jqbrJ75rKi4dBykUqGa0TsvYqtw=,Tomorrow and Tomorrow,Mary Robinette Kowal,2011-01-06,Short Fiction,Apex Magazine;Issue 20;Mary Robinette Kowal;Reprint;Short Fiction 2;Tomorrow And Tomorrow,3815,,,https://apex-magazine.com/short-fiction/tomorrow-and-tomorrow/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/kfkHzKvFyTm3LmRgkoxMYrN3-T8.json,TRUE
IY37kkaW+Tpbu1DV9m9R2nWtnlA=,The Satellite Charmer,Mame Bougouma Diene,2022-11-29,Short Fiction,Apex Magazine;Issue 134;Mame Bougouma Diene;Reprint;Short Fiction 2;The Satellite Charmer,60585,,,https://apex-magazine.com/short-fiction/the-satellite-charmer/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/+xvlvQ-KP+0mSIbBZzE58aZE21Y.json,TRUE
K3zzVlFEg8dzwFHFf/GnyKbCu8c=,Beautiful Poison in Pastel,Beth Dawkins,2023-03-09,Short Fiction,Apex Magazine;Beth Dawkins;Cw;Issue 136;Short Fiction 2,62036,,,https://apex-magazine.com/short-fiction/beautiful-poison-in-pastel/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/U3K-dfPzaLTCQc8T+fHQcZg3q8g.json,TRUE
MngDCqX2NTpungtqg4Xe1atoIwk=,The End of the World in Five Dates,Claire Humphrey,2014-03-04,Short Fiction,Apex Magazine;Claire Humphrey;Issue 58;Short Fiction 2;The End Of The World In Five Dates,7410,,,https://apex-magazine.com/short-fiction/the-end-of-the-world-in-five-dates/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/nZnrJfktPFqtqUmOltYxWjtTfXE.json,TRUE
bm15CANCf9hVgBpGPIsePAmYGlg=,Titanic!,Lavie Tidhar,2013-06-04,Short Fiction,Apex Magazine;Issue 49;Lavie Tidhar;Short Fiction 2;Titanic,6123,,,https://apex-magazine.com/short-fiction/titanic/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/uj0iucPHxg7GPTNFFToOnypMyoY.json,TRUE
36purmLGzxLwspcdrS8yl10qfKY=,Shadow,Tade Thompson,2016-11-16,Short Fiction,Apex Magazine;Issue 90;Reprint;Shadow;Short Fiction 2;Tade Thompson,12551,,,https://apex-magazine.com/short-fiction/shadow/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/nB7Splvv0RyCrwnSFVRc20CTkw8.json,TRUE
3nmBt4TajmTYm8sSMs3yQ0F0RrE=,Nemesis,Laird Barron,2015-12-28,Short Fiction,Apex Magazine;Issue 79;Laird Barron;Nemesis;Reprint;Short Fiction 2,10705,,,https://apex-magazine.com/short-fiction/nemesis/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/9+mgWrxS3RPLE5NkAE0bkMl8iBM.json,TRUE
3ujha80MGk+DRfSoNU5vuI+4qZo=,A Priest of Vast and Distant Places,Cassandra Khaw,2018-03-13,Short Fiction,A Priest Of Vast And Distant Places;Apex Magazine;Cassandra Khaw;Issue 106;Short Fiction 2,14743,,,https://apex-magazine.com/short-fiction/a-priest-of-vast-and-distant-places/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/p84xl+3r8kRoavGU5UbQeYbd2ZM.json,TRUE
U2rVl7sBVHNoARh05xhen1RIkVU=,Captain Midrise,Jim Marino,2018-12-18,Short Fiction,Apex Magazine;Captain Midrise;December 2018;Issue 115;Jim Marino;Short Fiction 2,15986,,,https://apex-magazine.com/short-fiction/captain-midrise/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/CLS2glN1wKO3FkJuLoMzXDRkTQw.json,TRUE
u6GS6NDTSzmaYSlbJ8iM8lapI2c=,Gemphalon,Elizabeth Engstrom,2011-09-06,Short Fiction,Apex Magazine;Elizabeth Engstrom;Gemphalon;Issue 28;Reprint;Short Fiction 2,3854,,,https://apex-magazine.com/short-fiction/gemphalon/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/wJ08mZykwz19gXOA+JBwzD00Sew.json,TRUE
On/ngKpLFpGl6HoQeEG7Jh3SfGY=,Sprig,Alex Bledsoe,2012-11-06,Short Fiction,Alex Bledsoe;Apex Magazine;Issue 42;Short Fiction 2;Sprig,4284,,,https://apex-magazine.com/short-fiction/sprig/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/Nd-lUhI6ePMDZmnmGf+FO24M1ME.json,TRUE
1GGlSTZcPJxz/OCsUXl6Vg2pu9o=,Trees of Bone,Daliso Chaponda,2014-12-31,Award Nominees;Short Fiction,Apex Magazine;Award;Daliso Chaponda;Issue 68;Reprint;Short Fiction 2;Trees Of Bone,8876,,,https://apex-magazine.com/short-fiction/trees-of-bone/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/kk58DA-zODbt6fJ4RAlwvgfjq9M.json,TRUE
gvnvQPABOOj1hluA+0QrVjDz1zE=,Close Your Eyes,Cat Rambo,2011-02-05,Short Fiction,Apex Magazine;Cat Rambo;Close Your Eyes;Issue 21;Short Fiction 2,3812,,,https://apex-magazine.com/short-fiction/close-your-eyes/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/EhcPrdtRqFOG6umkXC8ZHbLU17I.json,TRUE
Nya9sSLUsxgj0r/NtbbAwucTdo8=,Keep Talking,Marie Vibbert,2014-12-02,Award Nominees;Short Fiction,Apex Magazine;Apex Readers Choice;Award;Issue 67;Keep Talking;Marie Vibbert;Short Fiction 2,8805,,,https://apex-magazine.com/short-fiction/keep-talking/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/Ofu2eorQ7Tyz6B0iZGyZV9p2j+Q.json,TRUE
MypkYVTpn1bcsrwsLZ1ZSNBoxyQ=,"Me and Jasper, Down By the Meth Shack",Aaron Saylor,2015-10-27,Short Fiction,Aaron Saylor;Apex Magazine;Issue 77;Me And Jasper Down By The Meth Shack;Short Fiction 2,10067,,,https://apex-magazine.com/short-fiction/me-and-jasper-down-by-the-meth-shack/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/7S3b-3u-w9UmzlQ0A0PheofUSCw.json,TRUE
iCH6n0aCbXKRD/m/idFk27oBDME=,Recipe Collecting in the Asteroid Belt,Jeremy R. Butler,2011-05-17,Short Fiction,Apex Magazine;Issue 24;Jeremy R Butler;Recipe Collecting In The Asteroid Belt;Short Fiction 2,3821,,,https://apex-magazine.com/short-fiction/recipe-collecting-in-the-asteroid-belt/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/urmCf5CgVNIXPLGMpTUAVaZIIk4.json,TRUE
4Yjhik2xUBdhbKkKF6VErLSjlyY=,Pagpag,Samuel Marzioli,2016-10-10,Short Fiction,Apex Magazine;Issue 89;Pagpag;Samuel Marzioli;Short Fiction 2,12348,,,https://apex-magazine.com/short-fiction/pagpag/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/bBx1wGocjhPXFxs14fJte32PoPI.json,TRUE
ay55eR0ink6AtESPsnRIP1Wkh3U=,Waking,Cat Hellisen,2014-03-04,Short Fiction,Apex Magazine;Cat Hellisen;Issue 58;Short Fiction 2;Waking,7394,,,https://apex-magazine.com/short-fiction/waking/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/3Y4VH-EAMAR1st1YDJ+mjpvAVAE.json,TRUE
lmE1tGXf3NQBH9L1YLMzzRdj8Js=,p.a. chic,Tobias Amadon Bengelsdorf,2010-02-01,Short Fiction,Apex Magazine;Issue 8;P A Chic;Short Fiction 2;Tobias Amadon Bengelsdorf,3810,,,https://apex-magazine.com/short-fiction/p-a-chic/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/eQl-0Uq4MgEF02-HWwvGse7eL3g.json,TRUE
xJnL3qOm+3BarIcJmASM74Xy1GM=,Marked by Bears,Jessie Loyer,2021-10-12,Short Fiction,Apex Magazine;Cw;Issue 126;Jessie Loyer;Marked By Bears;Short Fiction 2,48450,,,https://apex-magazine.com/short-fiction/marked-by-bears/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/ot6m9d8oZ5ASM1iXwZFIkmMoB1E.json,TRUE
LP+rlhZTDXZrhUV2yundfwu7IPw=,Overclocking,James L. Sutter,2009-12-08,Short Fiction,Apex Magazine;Issue 6;James L Sutter;Overclocking;Short Fiction 2,3803,,,https://apex-magazine.com/short-fiction/overclocking/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/XvXGbpBxVEUWhrrBnBC6XBrCK0o.json,TRUE
SFoJoqV+SSrFyfb6tjCxzI+K28k=,Inhabiting Your Skin,Mari Ness,2015-06-02,Short Fiction,Apex Magazine;Inhabiting Your Skin;Issue 73;Mari Ness;Short Fiction 2,9568,,,https://apex-magazine.com/short-fiction/inhabiting-your-skin/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/JfRB0lx1YnxV9yiwV15QCd7F-hs.json,TRUE
amiXZQh9iSfcug2cjAea6t0bGCE=,When We Dream We Are Our God,Wole Talabi,2019-05-29,Award Nominees;Short Fiction,Apex Magazine;Award;Issue 120;Reprint;Short Fiction 2;When We Dream We Are Our God;Wole Talabi,16517,,,https://apex-magazine.com/short-fiction/when-we-dream-we-are-our-god/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/zFUZYTjiT8MSt7R30hLeatpiSoo.json,TRUE
guJpwZ/M63F/7Ovg/3bjN1PdRL0=,Next to Cleanliness,Rose Keating,2021-09-14,Short Fiction,Apex Magazine;Cw;Issue 125;Next To Cleanliness;Rose Keating;Short Fiction 2,47685,,,https://apex-magazine.com/short-fiction/next-to-cleanliness/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/s3ZJ674SArFcglUlueHEPvipmSk.json,TRUE
gKQykE7SmgcSwK+qIC+6hBPj60E=,All Votes Will Be Counted (We Promise),Paul Crenshaw,2019-04-09,Short Fiction,All Votes Will Be Count We Promise;Apex Magazine;Issue 119;Paul Crenshaw;Short Fiction 2,16398,,,https://apex-magazine.com/short-fiction/all-votes-will-be-counted-we-promise/,Apex Magazine,apex-magazine.com,,./scrape/jsonfiles/LNP0qBz3-e8OD61cyyK7Tq1QV2c.json,TRUE
