fingerprint,title,author,date,tags,excerpt,source-hostname,hostname,source
OJ9HA6FMiwo58ooQPL9ZN4liwIE=,Thieves of Silence,Holly Phillips,2020-01-16,,"The song became a chant, slow and rhythmic as a sleeping heart. The dance wove together three women, then four, then one alone with steel in her hand. Zel dreamed on her feet, free of pain, comfortable with the prospect of death. The white bed, the rubied throat. Two of the sisters went away into the darkness beyond the ring of fire. When they returned, they bore a white ghost between them. A white-feathered ghost with yellow eyes that burned brighter than the flames.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/thieves-of-silence-by-holly-phillips/
XMpbbS1f94hRQjDumnfi5jJmMFw=,Kreisler’s Automata,Matthew David Surridge,2022-11-18,,"The Prodigy scampered forward at once and sat before the pipe organ’s keyboards. Kreisler was with him. Together they began to play, calling the automata back to their city. Just as we had planned. And I, I ran after the Clockwork King, driven, as ever, by the thought of Olympia. For I had more that I would know.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/kreislers-automata-by-matthew-david-surridge/
UImxTi4RV+gqIFP5SDQnUtXjMKo=,A Killer of Dead Men,David Tallerman,2015-12-29,,"Otranto didn't hesitate. On some level, he realized, he had been anticipating this moment, or one like it, for a very long time. ""The punishment for failure should be death by my own hand.""",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/a-killer-of-dead-men/
kUn9Ed+I0R2u5kjVRPhbWbAPuUw=,The Spoils,Aliya Whiteley,2020-07-19,,"“Step forward, Clare Askett,” said the butcher, so she did so. Before the ceremony she had inquired about the possibility of receiving her gift in private and had been told that was not an option. It didn’t help that it was her lot to receive such an unpleasant object. A toenail, no less. It had a laughable element to it. Would anyone snigger, or make a comment, as she approached?",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-spoils/
CQufPgNDzBPJbQCfK1nOnopb52Y=,"What the Mountain Takes, What the Journey Offers",Jae Steinbacher,2023-02-08,,"Even in her delirium, my lover smells the offering meal cooking and sees my half-full pack. She begs me not to go. It’s a journey lovers and pilgrims take—to exchange vows or to petition Mother. The paths to the mountain shift with their travelers’ intentions, and we were much younger when we traveled there to be wed.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/what-the-mountain-takes-what-the-journey-offers/
3FrzkDE4W7mw8+ZofdY3rMtWdIc=,Seasons Set in Skin,Caroline M Yoachim,2015-07-09,,"Slipping into the dead girl's body was like meditating inside a stone, cold and still. Yōsei filled her with tendrils of gold and divided life energy between two bodies—one cold and dead, the other hot and familiar. The girl was too plump, too dense, and filled with tiny creatures that decomposed her flesh. These Yōsei banished, drowning them in golden light.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/seasons-set-in-skin/
yLGDzEvg8nHaE6UVv4V0/DYm8oc=,The Mathematics of Faith,Jonathan Wood,2009-10-09,,"The final scenes leave me breathless. The priestess’s condition enters its final stages, and, though she hammers at the portals of her sealed chambers, no-one comes to her aid. The artist responsible for the narrative cuts his scenes faster and faster, becoming more and more metaphorical. We see her eyes tighten in pain; a shot of the two birds, both young and old, silhouetted against a gas flame; the woman’s hand clenching her bed sheets; the gas flame flickers; the woman’s hand relaxes; the young canary sitting alone on its perch, its older companion nowhere in sight.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-mathematics-of-faith-by-jonathan-wood/
t7t7PZzE3fTN8QQTDmvY2j61Lww=,Dreams of Peace,Dana Beehr,2013-05-30,,"Suddenly a horrible sense of disjunction came over her—looking around the sunny dining room, she seemed to see with a strange doubled sight the wreckage beneath: a thick layer of dust, shattered tables lying on their sides, broken windows, gaping holes in the walls, the beautiful rosewood sideboard wrecked, with its doors hanging off and its mirror cracked—",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/dreams-of-peace/
Z2ZFhnWeOOdVxoCEr+4T/Wt9hpc=,The Ascent of Unreason,Marie Brennan,2012-09-24,,"By now the rumors had spread; half the population of the Shreds seemed to know that Tolyat the scholar was trying something mad, and most of them had come to watch. They parted, though, to allow Last through—along with the cart he was dragging behind him. Tolyat paused to stare. ""What in the name of everybody else's god is that?""",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/the-ascent-of-unreason/
1OOlzaAf7AOGvzr6x9mlz75xVcc=,An Offer from the Fivefold God,Rachel Meresman,2023-04-11,,"“I can help you avenge what they did to you,” the Fivefold God said. Their features rippled like a pool embracing a pebble, and then they wore their third face, the warrior face. The God’s words were like a dry wind that blew through Ana, sweeping aside the numbness and ash and trailing fury in its wake.",Beneath Ceaseless Skies,beneath-ceaseless-skies.com,https://www.beneath-ceaseless-skies.com/stories/an-offer-from-the-fivefold-god/
