fingerprint,title,author,hostname,date,categories,tags,id,license,comments,source,source-hostname,excerpt,filename,has_text
wdacfjHVwQTjDAi+uIURR6OiPDs=,Shauna C,,,,,,,,,,,,./scrape/jsonfiles/C8fGkhMu4ABXBxk9L2aZ7TeNPUk.json,True
L617R4fkOCMQe/J7mFUruD9N3+o=,Table of Contents,,,,,,,,,,,,./scrape/jsonfiles/JRWldmSlFYc0Fpy7djCemAyl31k.json,True
Je5W57WDNrDe8Oy0Ux+OOuLJRoE=,Tim Burke,,,,,,,,,,,,./scrape/jsonfiles/-UJQEJXBH4-zQYqJrFQPhCHZM-8.json,True
1k+G4zt4O8VgRchpvS9O76927PU=,The sea commanded silence,,,,,,,,,,,,./scrape/jsonfiles/tdLw89qbUDIWaSv5W7xeKZN76wk.json,True
rXMUgUoz0smNv3HbV74zkXQrZ2k=,Several months later…,,,,,,,,,,,,./scrape/jsonfiles/eSPHVj5IKKrVm641PT-yMIrnBQE.json,True
qhihvwIFaMJI1bpEDxgZnEJmixk=,By,,,,,,,,,,,,./scrape/jsonfiles/3fFxYzykMAW-imGp6Znt-S2a92k.json,True
g4H6n3sdhy4u6Y4hZQu4vjQLy5k=,The Inspector,,,,,,,,,,,,./scrape/jsonfiles/6+f8CHyNsScd5dmQYxHeD6BJcM4.json,True
BqtkemLW7BlR0XAdiZ+JDIXB0XU=,Richard Jones,,,,,,,,,,,,./scrape/jsonfiles/vD84K1Sy0Cq068zz4jR6gaRNVIk.json,True
NAlqYu9C+8H8Wrm5l+7uPkX/2qg=,MY SAVIOR,,,,,,,,,,,,./scrape/jsonfiles/x86wRYmZSIF6lakY-0JPpsDtb20.json,True
Ek1zpeYVAjFAHXffDHo2m1LW0pw=,The Voice of the Prophet,,,,,,,,,,,,./scrape/jsonfiles/CZpliVEPWs8dawSL+C0DRSY6+f8.json,True
djxC/g4DqsJBpcpC6VqS0Cifw2U=,Predicting what future earth will look like is always fun. Mr. Cruz shares his vision with us in this tale askew…,,,2001-01-01,,,,,,,,,./scrape/jsonfiles/m9DrmtF5wbbOco-9YZhZ9VkTs9g.json,True
l6rCrf692hpggAy8nlBcPcIgOyY=,"Gary J Beharry About 3,500 words",,,,,,,,,,,,./scrape/jsonfiles/Shgu35NeDCT5PX6lkgbqT8K7pKw.json,True
nMQkFuhPWdncmuMYP584SAvXEB0=,Waking Dreams,,,,,,,,,,,,./scrape/jsonfiles/dbN14z3Q6S7nWjGkPI24nftSlFw.json,True
MVSSqZxZIwj7i1uCYEDRcw8S/tM=,Fit for Duty,,,,,,,,,,,,./scrape/jsonfiles/E8VHqqST4qb9xuSBfJ9wxHgCxO0.json,True
NaqWMfv0wn1/ZZYiAFnh/H+7vZU=,"We also have a soft spot for frogs, although in this story the frogs aren’t eating the humans…",,,,,,,,,,,,./scrape/jsonfiles/FsxxnPctC8o-qvFaArQwxlubwyQ.json,True
2Nj6aluicZzBFZe9QEg4KSBBKWQ=,THE PLEDGLING,,,,,,,,,,,,./scrape/jsonfiles/boQi-2LkvEjZEepq1ABFWQYWIpM.json,True
gBC5r5cIsPQeuFrqt31X/xwczEY=,THE GARDEN OF MEN,,,,,,,,,,,,./scrape/jsonfiles/5InOQ2Jd-tlNhgFGZ01p15LYxhg.json,True
XWvgKI5/IErKQr2nQg3H2Gy8TQA=,by,,,,,,,,,,,,./scrape/jsonfiles/9D+vHcoAx7b6sO-JsLzSvoAB2lU.json,True
IgLo5rqe8EOW4ZlEFYT4gr/0jqI=,Schoolhouse Runway,,,,,,,,,,,,./scrape/jsonfiles/Xd8prbGk2NQbjzMM8IVrAEoQ1bY.json,True
DBeotl3jkP8i2jMJRrkiyB6qllk=,Walking the Rim (WP 7,,,,,,,,,,,,./scrape/jsonfiles/ArmdoGd+9iCdoFX-lu+GnO0tKvM.json,True
V9MURQ3NEwJjODIYJyCEIq4bNYE=,Fran Jacobs,,,,,,,,,,,,./scrape/jsonfiles/yVQGeLsqswn1jsq9ZytkmYdH6x8.json,True
J2sD6Ck+gDwud7qd5wg7vAJ8hKo=,Liam Rands,,,,,,,,,,,,./scrape/jsonfiles/R1rEhfx3z1BweHFLqNHDx8ItCs0.json,True
T1GQyl9NXopUkwtjBK8avkoNawU=,Table of Contents,,,,,,,,,,,,./scrape/jsonfiles/d5sla6AApc6h4kKNakJBpdTBaqE.json,True
MJKsIAnD8/AsJYssDE/+/b7vtPU=,Sally and the Sackman,,,,,,,,,,,,./scrape/jsonfiles/AKaz9TwZrY8xja9raIErJdi079U.json,True
GxhfXwRWIgCWUZ8Elh1U7P97dMk=,Mr. Bauer brings us a saucy tale of the surreal nature of delivery pizza…,,,,,,,,,,,,./scrape/jsonfiles/jtCQ7rVBW4U2QQdZeVumj2cAl2c.json,True
gqmrUQuydO4+4F8fpmSdBPCz/ek=,,,,,,,,,,,,,./scrape/jsonfiles/3nxKUR4oIr9aRFDKuJuSI+BuDy8.json,True
/VC5LXCSECS2wm2il+gByaDjc+Y=,,,,1995-01-01,,,,,,,,,./scrape/jsonfiles/trH6zG0LWmEBY2+Q7bQQLQ1RNH4.json,True
1Gil/xB671ivqPbNk6r1o/V0k0A=,ÐÏ à¡± á ; þÿ,,,,,,,,,,,,./scrape/jsonfiles/3OwFutI0mowrbwHq+EeTwK9Jcxg.json,True
95hRuTeHBCFj/SS/miXqGfHlAw4=,Master Seeks New Flesh,,,,,,,,,,,,./scrape/jsonfiles/1oo8uvbxY7g5nTl0UTkCOJuUpDk.json,True
/EPMXmp3H3Cx4lG0KiQhK5iap+s=,,,,,,,,,,,,,./scrape/jsonfiles/koDtANcdWp0o63WycmXhjJ5qyy4.json,True
TbSh8lNJ0V48dJr4MIAzQSkn/G0=,CTTA:Table of Contents,,,2002-01-01,,,,,,,,,./scrape/jsonfiles/ozlQ861a6DoDfjsGk+8igRBJ-qc.json,True
NCG05wxsDNyljXx1iNbGu63A6ho=,"I saw my first dragon when I was fifteen, a self-conscious and ungainly lad teetering at the brink of manhood",,,,,,,,,,,,./scrape/jsonfiles/te1DU-PXIzmwoesEpnCDvnj1EiA.json,True
f27Ab1YPSh08VmeWrpTUplbaAJ4=,GOLDEN DEBRIS,,,,,,,,,,,,./scrape/jsonfiles/QkIL9EZDJhbh+HZzDFxvnNJC+fk.json,True
3Y728HuKkk2+0PeeBe2qG8ETaD4=,,,,,,,,,,,,,./scrape/jsonfiles/I556prk32TV4wo5Wx8zozTJgKl0.json,True
58UwOKvVo/n/LqGeZVO8HPfTyEk=,Faulty Wiring,,,2000-01-01,,,,,,,,,./scrape/jsonfiles/LY1PY3YZCDFtySTNorvpck3uwqg.json,True
8ynquSQ4bf3jfMEPUqi4he/vDac=,The Queen is not Amused,,,,,,,,,,,,./scrape/jsonfiles/1J-XIR6FWLC9Bf0r-sDqByEN874.json,True
snFHJqaMw69Ht5BxizF4Y3TcWEk=,,,,,,,,,,,,,./scrape/jsonfiles/5i-WH7YX1qIxms8X8CEIp4kRzLU.json,True
8M4F48csF+eBIg6s9ky9pZ5DQ14=,"My name is Pauline Paulson, and yes, I’d like to slay my parents for doing that to me",,,,,,,,,,,,./scrape/jsonfiles/nppL2a9cU5l+7nTG0nvl5-n495w.json,True
iHIHLKO2l/d5bYvYtQoQS/qT80Y=,Putterman's Template,,,,,,,,,,,,./scrape/jsonfiles/UgGbNVpuWGOEHvYVbJPqjGHREKw.json,True
OPlpHG/68DVUovDDBVUjEXaodD8=,A white waste lay open to his sight in the dim starlight,,,,,,,,,,,,./scrape/jsonfiles/vYfVNpiyE6p8zIqkWM63grimGK4.json,True
YPCcrlSVdCwPFGUE6+jm9raJZoc=,Mr. Steele brings us a repeat performance with a tale about those damn meddling scientist. When will they learn to leave the basic structure of the universe alone!,,,2022-01-01,,,,,,,,,./scrape/jsonfiles/WGCJMaPJZeX3srQS9VTePvwX+Xs.json,True
UenliDpfpso/xwz8RLweT6JLsXE=,How to Dispose of Sneakers,,,,,,,,,,,,./scrape/jsonfiles/MLfy+WDjeF5FBmtlw4BS8+znJFU.json,True
o14Pvkv/tJC+pp/27L0OAYlGe3o=,C,,,,,,,,,,,,./scrape/jsonfiles/QlidMyNcdyT0QX0kERPfc-2NRXg.json,True
sEk2yJvUJeF5X2FcqzS3wOKtzDM=,Day of the Dead story,,,,,,,,,,,,./scrape/jsonfiles/2ya+TLVrfEmz3kpEJpA4Khdwb00.json,True
jfHzp2FyNSOJH3YF/pcIjkYm9w0=,There was always something almost mystical about the depths of space,,,,,,,,,,,,./scrape/jsonfiles/uy2HHEhfIfhlqkM3A-ouKbQk9Dg.json,True
